MYRON_COMPANY_CODE,orderno,ORD_REV_GRS_BOOK_W_OV,DATE_ENTERED,MYRON_ACCT,CODE_ENTRY_INITIALS
MY,116617747,220.08,6/4/20,10981794,42369
MY,116623570,220.08,6/5/20,6534597,42369
MY,116633298,220.08,6/8/20,19504220,42613
MY,116635988,220.08,6/9/20,29141739,43889
MY,116638537,220.08,6/9/20,9904473,42155
MY,116663329,220.08,6/15/20,16846081,43099
MY,116664996,220.08,6/15/20,26282149,43857
MY,116699042,220.08,6/22/20,12248115,41247
MY,116704073,220.08,6/22/20,6680948,44013
MY,116744723,220.08,6/26/20,7650514,42848
MY,116748781,220.08,6/26/20,7542355,42955
MY,116750134,220.08,6/26/20,29099832,42078
MY,116750159,220.08,6/26/20,29099832,42078
MY,116777640,220.08,7/1/20,6651287,43942
MY,116702432,220.45,6/22/20,17696759,41259
MY,116678277,220.56,6/17/20,29148619,43934
MY,116679523,220.64,6/17/20,19654450,42799
MY,116717596,220.66,6/23/20,23916528,43932
MY,116633405,220.82,6/8/20,6634072,43932
MY,116708926,220.82,6/23/20,7948060,42078
MY,116684069,220.95,6/18/20,13059895,43194
MY,116689746,221.7,6/18/20,14404741,43430
MY,116734997,221.7,6/25/20,25547085,43194
MY,116701731,221.95,6/22/20,6552526,41210
MY,116716127,222.25,6/23/20,6875157,42959
MY,116606237,222.68,6/3/20,25165716,43934
MY,116714767,222.75,6/23/20,10813095,43430
MY,116688656,222.9,6/18/20,6906210,41225
MY,116745274,222.9,6/26/20,7020121,41100
MY,116621954,222.94,6/5/20,16055097,43889
MY,116782996,223.01,7/2/20,25009129,41132
MY,116760729,223.2,6/29/20,22483179,44011
MY,116658444,223.35,6/12/20,16239755,42613
MY,116658345,223.77,6/12/20,6757699,41225
MY,116733387,223.77,6/25/20,13727841,42848
MY,116743956,223.77,6/26/20,11045321,41210
MY,116777509,223.77,7/1/20,13548312,44018
MY,116629189,224,6/8/20,6921019,43453
MY,116671207,224.45,6/16/20,16434611,41259
MY,116677774,224.45,6/17/20,7569999,41210
MY,116686643,224.45,6/18/20,7503737,43430
MY,116700550,224.45,6/22/20,6185841,42434
MY,116724402,224.45,6/24/20,6930857,43453
MY,116729237,224.45,6/24/20,7702857,43985
MY,116755398,224.45,6/29/20,5534144,41258
MY,116614173,224.49,6/4/20,6361069,43857
MY,116613670,224.56,6/4/20,7591611,41247
MY,116775156,224.56,7/1/20,14365674,42421
MY,116655291,225.35,6/12/20,14804801,43934
MY,116658477,225.45,6/12/20,29140160,43305
MY,116684481,225.45,6/18/20,18333515,43305
MY,116766247,225.45,6/30/20,29111688,43988
MY,116766312,225.45,6/30/20,29111695,43988
MY,116766395,225.45,6/30/20,29111698,43988
MY,116736828,225.86,6/25/20,6735852,41259
MY,116733007,226.14,6/25/20,7204493,44018
MY,116765397,226.45,6/30/20,22686001,41259
MY,116672585,226.93,6/16/20,12953772,43889
MY,116771742,226.93,7/1/20,29171925,44016
MY,116681578,226.95,6/17/20,9965668,43194
MY,116709171,227.19,6/23/20,29175900,43578
MY,116723321,227.42,6/24/20,23141307,44011
MY,116649534,227.45,6/11/20,29173452,43932
MY,116656174,227.45,6/12/20,29169056,43932
MY,116681248,227.45,6/17/20,16007657,42613
MY,116702218,227.45,6/22/20,10946065,43099
MY,116767260,227.45,6/30/20,29161195,43942
MY,116769480,227.45,6/30/20,12198321,43453
MY,116670373,227.61,6/16/20,28427097,41132
MY,116606518,227.92,6/3/20,26323583,42980
MY,116609330,227.92,6/3/20,29169995,44019
MY,116609546,227.92,6/3/20,29116712,42882
MY,116610916,227.92,6/3/20,28302679,43430
MY,116611773,227.92,6/3/20,24773319,42980
MY,116617234,227.92,6/4/20,26029600,44020
MY,116655242,227.92,6/12/20,18278492,43554
MY,116766114,228.24,6/30/20,11954701,43453
MY,116691650,228.45,6/19/20,29082077,41147
MY,116730763,228.45,6/25/20,25511606,42369
MY,116699554,228.46,6/22/20,29096991,43988
MY,116705765,228.46,6/22/20,16645727,43554
MY,116660382,228.5,6/12/20,29172778,43932
MY,116768755,228.5,6/30/20,24240883,43678
MY,116672098,228.62,6/16/20,22218433,43194
MY,116659475,228.75,6/12/20,19288351,44013
MY,116617499,228.9,6/4/20,1125921,43984
MY,116717679,228.9,6/23/20,10171907,42980
MY,116777095,228.9,7/1/20,29099945,41258
MY,116777244,228.95,7/1/20,12274773,41210
MY,116659715,229,6/12/20,26239070,43305
MY,116693516,229,6/19/20,6065218,43554
MY,116659251,229.03,6/12/20,18558916,43591
MY,116716499,229.03,6/23/20,7543111,41225
MY,116738808,229.11,6/25/20,10981509,41247
MY,116647702,229.45,6/11/20,6206949,41100
MY,116657909,229.45,6/12/20,7698759,42421
MY,116676693,229.45,6/17/20,6517412,41259
MY,116678137,229.45,6/17/20,8722407,42848
MY,116690009,229.45,6/18/20,16647928,43430
MY,116707175,229.45,6/23/20,6965713,41100
MY,116742131,229.45,6/26/20,5989793,43858
MY,116756347,229.45,6/29/20,12398915,42848
MY,116623786,229.5,6/5/20,29152106,41147
MY,116640079,229.51,6/9/20,24360765,43820
MY,116717745,229.51,6/23/20,20362326,42980
MY,116677261,229.7,6/17/20,3052867,43305
MY,116663170,229.92,6/15/20,7527439,42708
MY,116692948,230.04,6/19/20,10979729,43430
MY,116694290,230.04,6/19/20,8594814,42708
MY,116696964,230.04,6/19/20,13851078,43518
MY,116704222,230.04,6/22/20,13886158,43578
MY,116718529,230.04,6/24/20,6190173,43574
MY,116744640,230.04,6/26/20,27217576,41210
MY,116747098,230.04,6/26/20,10543979,41225
MY,116772468,230.04,7/1/20,22487662,41147
MY,116781337,230.04,7/2/20,21285209,43578
MY,116778408,230.5,7/1/20,8919988,44019
MY,116630658,230.56,6/8/20,14011186,42434
MY,116754839,230.6,6/29/20,29068704,43721
MY,116765835,230.95,6/30/20,29163345,41247
MY,116637893,231.95,6/9/20,6343404,41210
MY,116663592,232.23,6/15/20,6197844,42421
MY,116713199,232.33,6/23/20,16239566,42434
MY,116694118,232.46,6/19/20,12180244,42799
MY,116652371,232.64,6/11/20,12043338,43453
MY,116607698,232.66,6/3/20,26917159,43671
MY,116638149,232.66,6/9/20,7042002,44012
MY,116685322,232.66,6/18/20,25292280,43463
MY,116691452,232.66,6/19/20,14103154,42155
MY,116738758,232.78,6/25/20,9725678,43771
MY,116773763,232.92,7/1/20,6633834,43678
MY,116648312,233.18,6/11/20,29164084,43934
MY,116672320,233.18,6/16/20,29092592,41210
MY,116688920,233.25,6/18/20,2857514,43456
MY,116749250,233.52,6/26/20,6209637,42848
MY,116753187,233.52,6/29/20,14479444,42613
MY,116777483,233.54,7/1/20,7503111,43456
MY,116631979,233.74,6/8/20,29113343,43305
MY,116640145,233.95,6/9/20,24360765,43820
MY,116701939,234.07,6/22/20,6552526,41210
MY,116614132,234.23,6/4/20,16240205,43194
MY,116636952,234.23,6/9/20,29095736,43749
MY,116610353,234.38,6/3/20,25629080,42369
MY,116610924,234.38,6/3/20,29149452,43934
MY,116693177,234.45,6/19/20,14180861,43194
MY,116695859,234.45,6/19/20,6922556,43558
MY,116722679,234.45,6/24/20,11044714,42613
MY,116745068,234.45,6/26/20,6953076,42799
MY,116756586,234.45,6/29/20,6844248,42799
MY,116631441,234.5,6/8/20,13688683,42882
MY,116765439,234.6,6/30/20,12301054,42421
MY,116631573,234.75,6/8/20,10267253,42980
MY,116714601,234.75,6/23/20,27534688,43988
MY,116768748,234.95,6/30/20,7457052,41259
MY,116674516,235.35,6/16/20,6491810,42078
MY,116680711,235.4,6/17/20,12097289,43453
MY,116744350,235.54,6/26/20,6383610,42708
MY,116674508,235.62,6/16/20,13710031,41258
MY,116674532,235.62,6/16/20,13710031,41258
MY,116670423,235.95,6/16/20,29150840,42542
MY,116694514,235.95,6/19/20,26134061,43194
MY,116699075,235.95,6/22/20,28298095,43578
MY,116640178,235.99,6/9/20,24360765,43820
MY,116668641,235.99,6/16/20,29152498,43820
MY,116668666,235.99,6/16/20,29152498,43820
MY,116674748,235.99,6/16/20,12043749,42495
MY,116688078,235.99,6/18/20,28419938,43820
MY,116688094,235.99,6/18/20,28419938,43820
MY,116664061,236.62,6/15/20,25196270,41210
MY,116710989,236.7,6/23/20,20717537,42959
MY,116766197,236.7,6/30/20,13690600,43430
MY,116666108,236.72,6/15/20,29129500,43578
MY,116757469,236.72,6/29/20,8455160,43456
MY,116777103,236.72,7/1/20,12238444,42882
MY,116687138,236.89,6/18/20,12953772,43889
MY,116772864,237.39,7/1/20,15473721,42078
MY,116725375,237.45,6/24/20,6539284,41100
MY,116726407,237.45,6/24/20,7542761,42369
MY,116623984,237.87,6/5/20,7427804,43430
MY,116768490,237.95,6/30/20,14022941,44018
MY,116673989,238.09,6/16/20,19467013,43934
MY,116637372,238.4,6/9/20,10222687,43678
MY,116687690,238.4,6/18/20,12456171,41247
MY,116697053,238.4,6/19/20,6767054,44013
MY,116709734,238.45,6/23/20,6276423,42882
MY,116631557,238.82,6/8/20,27369717,41210
MY,116623646,238.95,6/5/20,6528989,43678
MY,116631110,238.95,6/8/20,21960012,42434
MY,116635509,238.95,6/9/20,15741617,43554
MY,116660036,238.95,6/12/20,20339018,42495
MY,116674524,238.95,6/16/20,23221729,41247
MY,116738253,238.95,6/25/20,24239544,43749
MY,116738741,238.95,6/25/20,17525446,43456
MY,116768797,238.95,6/30/20,25881897,42155
MY,116667361,239,6/15/20,25598692,42882
MY,116685041,239,6/18/20,13308195,42959
MY,116757238,239,6/29/20,22046379,43578
MY,116757741,239.4,6/29/20,6179333,41210
MY,116639022,239.45,6/9/20,6936766,42155
MY,116670654,239.45,6/16/20,9648334,42959
MY,116631037,239.95,6/8/20,13511809,43456
MY,116663030,239.99,6/15/20,12918943,43985
MY,116614157,240,6/4/20,22504954,42434
MY,116621160,240,6/5/20,20599678,44011
MY,116611039,240.34,6/3/20,29108812,43984
MY,116657701,240.34,6/12/20,7501425,41132
MY,116663071,240.34,6/15/20,20773342,43856
MY,116608407,240.45,6/3/20,14137870,41258
MY,116628090,240.45,6/8/20,11459365,41258
MY,116723842,240.95,6/24/20,9699931,43985
MY,116618182,241.04,6/4/20,29112128,41247
MY,116619917,241.04,6/5/20,29093740,41100
MY,116624859,241.04,6/5/20,29129372,42542
MY,116641804,241.04,6/10/20,29117977,43932
MY,116643222,241.04,6/10/20,14874988,43678
MY,116644998,241.04,6/10/20,26099958,42495
MY,116650508,241.04,6/11/20,28896280,43889
MY,116656810,241.04,6/12/20,28160507,44027
