MYRON_COMPANY_CODE,MYRON_ACCT,ORDER,ORDER_WEEK,PS_WEEK,orders,bookings,CODE_ORDER_STATUS,DATE_PROMISED_SHIP,PRODUCT_PLATFORM,PRODUCT_PLATFORM_GROUP,YRSTRADED,OPENINGPLATFORM,SEGMENTSHORTDESC,STATUS,SHIPPING_STATE,PSD_TYPE,CODE_ORDER_STATUS2,paymentytype,rddesc,PROD_AVAIL_DATE_ISO,PROMISED_SHIP_DATE_ISO,NonDated_bookings,Non Dated Orders
MY,8421893,116217324,10,27,1,829.35,PP,7/1/20,DLOGS,DATED,9,Date Logs,Repeat,Active,WI,Fu,PP,VS,Visa payment                  ,5/12/20,7/1/20,,0
MY,10921896,116027848,7,27,1,828.45,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,WA,Fu,PP,VS,Visa payment                  ,5/12/20,7/1/20,,0
MY,6378509,115546020,1,27,1,823.95,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,KS,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6321231,115922320,6,27,1,814.95,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,CA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6941430,115649758,3,27,1,814.95,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,IL,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6509879,116017914,7,27,1,813.34,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,IA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,5986344,115794026,4,27,1,809.55,IP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,VA,Fu,IP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,7225385,115586034,2,27,1,808.37,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,VA,Fu,PP,AX,American Express payment      ,5/12/20,7/1/20,,0
MY,5373378,115582249,2,27,1,804.95,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,PA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6953746,115706350,3,27,1,803.95,PP,7/1/20,DTD01,DATED,9,Date Logs,Repeat,Active,TX,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,5612742,115708992,3,27,1,803.95,PP,7/1/20,DLOGS,DATED,9,Date Logs,Repeat,Active,CA,Fu,PP,AX,American Express payment      ,5/12/20,7/1/20,,0
MY,7608741,115559882,2,27,1,803.95,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,UT,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6145115,115851495,5,27,1,800.1,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,IL,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6888429,115610503,2,27,1,798.45,PP,7/1/20,DTD01,DATED,8,Dated,Lapsed 1Yr,Lapsed,AL,Fu,PP,NULL,NULL,5/12/20,7/1/20,,0
MY,14404724,116510421,20,27,1,792.45,HL,7/1/20,DLOGS,DATED,9,Date Logs,Repeat,Active,TX,Fu,HL,VS,Visa payment                  ,5/12/20,7/1/20,,0
MY,8446421,115585481,2,27,1,791.58,PP,7/1/20,DTD01,DATED,8,Dated,Repeat,Active,MN,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,11871230,115635096,2,27,1,790.95,PP,7/1/20,DTD01,DATED,6,Date Logs,Repeat,Active,NC,Fu,PP,VS,Visa payment                  ,5/12/20,7/1/20,,0
MY,11871230,115635096,2,27,1,790.95,PP,7/1/20,DTD01,DATED,6,Date Logs,Repeat,Active,NC,Fu,PP,VS,Visa                          ,5/12/20,7/1/20,,0
MY,6161180,115544058,1,27,1,790.65,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,IL,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6152630,115686321,3,27,1,786.45,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,RI,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6732476,115613960,2,27,1,784.95,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,TX,Fu,PP,PI,PREPAID INVOICE               ,5/12/20,7/1/20,,0
MY,7380946,115572364,2,27,1,781.2,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,CA,Fu,PP,AX,American Express payment      ,5/12/20,7/1/20,,0
MY,3600798,115691859,3,27,1,779.95,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,KY,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6304073,115671596,3,27,1,778.05,PP,7/1/20,DTD01,DATED,9,Date Logs,Repeat,Active,UT,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,7029190,116417643,16,27,1,776.2,PP,7/1/20,DTD01,DATED,9,Date Logs,Repeat,Active,OH,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,8422733,115640666,2,27,1,774.61,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,MS,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,10115854,115860298,5,27,1,774.06,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,NC,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6074318,115610099,2,27,1,773.91,IP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,KY,Fu,IP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,5721154,115779472,4,27,1,773.85,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,UT,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,7547311,115528127,1,27,1,771.95,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,NY,Fu,PP,VS,Visa payment                  ,5/12/20,7/1/20,,0
MY,20213289,115642506,2,27,1,770.7,PP,7/1/20,DTD01,DATED,6,Dated,Repeat,Active,NE,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,14137494,115542334,1,27,1,769.95,PP,7/1/20,DLOGS,DATED,9,Date Logs,Repeat,Active,NC,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,8446547,115587016,2,27,1,766.99,PP,7/1/20,DTD01,DATED,8,Dated,Repeat,Active,MS,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6398346,115562365,2,27,1,766.83,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,NY,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6228494,115531618,1,27,1,763.95,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,TX,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6399774,115662686,3,27,1,763.95,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,NJ,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
